AC,0.1,36.13,57.53,0.27,-1,1,1,-1/11,,28.58-43.848,-0.22,18.0,0.1,0.1,Buy,4.18 thousand,Financial Services,Asset Management,0.75,36.36,43.03,1.01,0.84,0.34
XOM,0.12,105.98,45.33,-2.38,-1,0.14,0.09,-1/11,hold,97.8-126.34,-8.9,16.0,144.0,134.2,Sell ALL,17.73 million,Energy,Oil & Gas Integrated,0.579,111.25,132.58,1.05,0.8,0.15
YSG,0.12,4.14,9.28,119.93,-4,0,0,-4/11,strongBuy,2.6-6.13,-42.34,32.0,6.7655187,5.7,mere Buy (some sold),163.75 thousand,Consumer Defensive,Household & Personal Products,1,4.46,5.5,1.08,0.75,0.78
NFBK,0.14,11.61,50.0,1.96,-2,0.04,0.24,-2/11,hold,6.98-14.39,1.03,19.0,12.0,12.0,Buy time,183.11 thousand,Financial Services,Banks - Regional,0.662,11.37,13.66,0.98,0.85,0.14
FOXA,0.16,49.8,75.02,-13.56,-1,0.63,0.77,-1/11,hold,31.71-58.74,-6.31,15.0,66.0,60.56,Buy time,4.00 million,Communication Services,Entertainment,0.52,53.53,64.32,1.07,0.77,0.12
NETZ,0.16,71.86,85.52,-20.68,0,1,1,0/11,,59.385-83.36,-3.33,14.000000000000002,0.1,0.1,Buy time,30.31 thousand,N/A,N/A,1,73.27,87.7,1.02,0.82,0.45
CSV,0.18,39.56,48.98,-8.29,-2,0.23,0.36,-2/11,strongBuy,25.44-42.75,2.54,7.000000000000001,55.0,53.12,Sell ALL,150.21 thousand,Consumer Cyclical,Personal Services,0.764,39.7,47.87,1.0,0.83,0.15
AGYS,0.18,77.02,7.01,-30.65,-1,0.08,0.26,-1/11,buy,63.71-142.64,0.57,46.0,178.0,150.0,Buy,308.86 thousand,Technology,Software - Application,0.638,78.18,92.5,1.02,0.83,0.04
ACLS,0.2,52.24,108.48,-45.84,0,0.35,0.27,0/11,hold,40.4-158.61,-9.85,67.0,100.0,84.25,Buy time,798.40 thousand,Technology,Semiconductor Equipment & Materials,1.584,56.28,65.48,1.08,0.8,0.14
BURL,0.21,235.53,82.08,-26.05,-1,0.3,0.08,-1/11,buy,181.87-298.89,-3.84,21.0,390.0,359.24,Buy,1.27 million,Consumer Cyclical,Apparel Retail,1.652,245.39,293.59,1.04,0.8,0.08
IMG,0.21,0.57,-8.72,-36.43,-1,-0.11,-0.09,-1/11,,0.25-8.0,15.07,93.0,0.1,0.1,Sell,379.02 thousand,Consumer Defensive,Packaged Foods,1.597,0.6,0.77,1.05,0.74,1.18
FLIC,0.22,12.12,3.23,-29.61,0,-0.06,-0.27,0/11,strongBuy,9.3-15.03,-0.45,19.0,16.56,16.56,Buy time,80.75 thousand,Financial Services,Banks - Regional,0.697,12.41,15.01,1.02,0.81,0.22
FCUV,0.23,5.5,2.37,103.34,-7,1,1,-7/11,,1.5-10.9,14.18,50.0,0.1,0.1,Buy time,36.40 thousand,Technology,Scientific & Technical Instruments,0.292,4.67,5.63,0.85,0.98,0.3
PRAA,0.23,19.33,122.68,-41.55,-1,0.17,0.49,-1/11,hold,15.94-28.64,-2.92,33.0,33.0,31.0,Buy time,353.33 thousand,Financial Services,Credit Services,1.526,20.76,24.45,1.07,0.79,0.2
PRLB,0.23,38.49,77.89,-14.9,-2,0.1,0.32,-2/11,hold,25.76-46.73,4.92,18.0,50.0,47.17,Buy time,285.38 thousand,Industrials,Metal Fabrication,1.524,38.43,45.05,1.0,0.85,0.01
ATHM,0.26,27.5,40.64,8.14,-1,0.07,0.14,-1/11,hold,21.89-34.7,-10.42,21.0,36.0,33.27,Sell,477.26 thousand,Communication Services,Internet Content & Information,0.148,28.76,34.12,1.05,0.81,0.06
FT,0.26,7.45,53.93,0.31,-1,1,1,-1/11,,6.64-7.8,-0.27,4.0,0.1,0.1,Buy,42.80 thousand,Financial Services,Asset Management,0.688,7.47,8.91,1.0,0.84,0.54
MASI,0.26,167.62,112.95,-9.94,-2,0.4,0.29,-2/11,buy,101.61-194.88,-3.05,14.000000000000002,215.0,205.35,Buy time,612.65 thousand,Healthcare,Medical Devices,1.278,174.24,207.67,1.04,0.81,0.23
DOC,0.27,17.86,81.37,-22.94,0,0.02,0.36,0/11,buy,17.33-23.26,-13.73,23.0,29.0,26.54,Sell ALL,5.27 million,Real Estate,REIT - Healthcare Facilities,0.994,19.73,23.61,1.1,0.76,0.15
CUZ,0.27,28.04,38.81,-24.77,0,0.03,0.53,0/11,buy,22.01-32.55,-5.09,14.000000000000002,38.0,35.42,Buy time,1.42 million,Real Estate,REIT - Office,1,29.23,34.44,1.04,0.81,0.11
LYV,0.27,133.41,85.95,-25.64,-2,2.69,3.91,-2/11,buy,86.81-157.75,8.07,15.0,180.0,170.38,- +Buy time -,2.74 million,Communication Services,Entertainment,1,134.91,158.27,1.01,0.84,0.08
EDUC,0.29,1.52,61.59,-0.18,-3,1,1,-3/11,,0.92-2.49,16.45,39.0,0.1,0.1,Buy time,7.12 thousand,Communication Services,Publishing,1.117,1.42,1.79,0.93,0.85,0.54
BMO,0.3,97.69,65.13,-2.88,-2,0.15,0.06,-2/11,hold,76.98-106.0,-0.4,8.0,110.50665,107.41,Buy time,807.12 thousand,Financial Services,Banks - Diversified,1.058,98.26,119.91,1.01,0.81,0.39
VRRM,0.31,22.56,106.13,-32.22,-2,0.03,0.13,-2/11,buy,19.51-31.03,7.67,27.0,32.0,30.54,Buy time,1.30 million,Technology,Information Technology Services,0.909,23.3,27.66,1.03,0.82,0.16
CHMI,0.31,2.94,134.45,-19.74,0,-0.1,-0.67,0/11,buy,2.34-3.99,-17.56,26.0,4.0,4.0,Buy time,315.14 thousand,Real Estate,REIT - Mortgage,1.149,3.25,3.84,1.11,0.77,0.08
PBH,0.34,84.29,29.66,-8.31,-1,0.07,0.06,-1/11,buy,62.35-90.04,0.78,6.0,100.0,93.33,Buy,358.12 thousand,Healthcare,Drug Manufacturers - Specialty & Generic,0.472,85.29,101.32,1.01,0.83,0.01
GTES,0.34,19.74,72.91,-28.96,-1,0.06,0.18,-1/11,buy,14.696-23.85,0.68,17.0,27.0,25.05,Buy time,3.28 million,Industrials,Specialty Industrial Machinery,1.242,20.02,23.52,1.01,0.84,0.29
ENVA,0.34,94.99,21.38,-50.71,1,0.56,0.23,1/11,buy,57.46-117.56,-1.36,19.0,138.0,132.43,Buy time,297.07 thousand,Financial Services,Credit Services,1.351,101.09,120.08,1.06,0.79,0.21
NUE,0.34,122.4,142.34,-11.19,-2,0.64,1.01,-2/11,hold,97.59-176.59,-6.58,31.0,175.0,160.66,Buy time,3.01 million,Basic Materials,Steel,1.68,127.45,148.87,1.04,0.82,0.24
EOT,0.35,16.68,67.28,0.22,-1,1,1,-1/11,,15.41-18.47,1.01,10.0,0.1,0.1,Buy time,55.35 thousand,Financial Services,Asset Management,1,16.71,20.16,1.0,0.83,0.35
AON,0.35,356.2,71.42,-22.65,0,-0.19,-0.02,0/11,hold,275.07-412.97,-9.6,14.000000000000002,449.0,422.98,Sell ALL,1.34 million,Financial Services,Insurance Brokers,0.816,389.81,467.64,1.09,0.76,0.28
OMF,0.36,49.46,52.17,-23.91,-1,0.16,0.11,-1/11,buy,38.0-58.9,-0.83,16.0,74.0,66.43,Buy time,1.45 million,Financial Services,Credit Services,1.292,50.85,59.25,1.03,0.83,0.34
CPBI,0.36,14.72,83.33,0.22,-3,1,1,-3/11,,9.96-15.5,-0.54,5.0,0.1,0.1,Sell ALL,4.76 thousand,Financial Services,Banks - Regional,1,14.77,19.69,1.0,0.75,2.13
APAM,0.36,39.63,108.72,-20.1,-1,0.18,0.21,-1/11,hold,32.75-49.54,-3.08,20.0,43.0,40.12,Buy time,716.98 thousand,Financial Services,Asset Management,1.786,40.58,48.33,1.02,0.82,0.14
TEN,0.36,17.0,20.67,-13.18,-2,0.03,0.07,-2/11,buy,13.4-31.48,-0.47,46.0,40.0,34.5,Buy time,291.69 thousand,Energy,Oil & Gas Midstream,1,17.01,20.0,1.0,0.85,0.23
CECO,0.38,26.1,22.05,12.86,-3,0.06,0.37,-3/11,buy,17.57-35.16,7.2,26.0,35.0,34.33,- Buy time -,278.03 thousand,Industrials,Pollution & Treatment Controls,1.293,24.21,28.84,0.93,0.9,0.16
PSN,0.39,63.46,26.83,-46.82,0,-0.09,-0.09,0/11,buy,54.56-114.68,4.11,45.0,100.0,90.67,Sell ALL,1.45 million,Technology,Information Technology Services,0.662,64.85,77.08,1.02,0.82,0.23
USA,0.39,6.47,76.97,-15.07,0,1,1,0/11,,5.64-7.49,-0.3,14.000000000000002,0.1,0.1,Buy time,971.84 thousand,Financial Services,Asset Management,1.058,6.55,7.88,1.01,0.82,0.2
LPLA,0.39,336.21,22.62,-22.21,-1,0.74,0.19,-1/11,buy,187.19-384.04,1.19,12.0,441.0,413.67,- +Buy time -,1.07 million,Financial Services,Capital Markets,0.637,341.47,415.3,1.02,0.81,0.62
SB,0.4,3.44,97.32,-3.76,-1,0.0,0.01,-1/11,buy,3.02-6.33,-11.76,46.0,5.0,4.78,- +Buy time -,573.87 thousand,Industrials,Marine Shipping,0.931,3.64,4.36,1.06,0.79,0.09
RACE,0.41,465.59,37.29,17.26,-3,0.4,0.21,-3/11,buy,391.54-509.13,2.64,9.0,620.1075,565.33,Buy time,546.62 thousand,Consumer Cyclical,Auto Manufacturers,0.673,453.11,546.92,0.97,0.85,0.29
ZWS,0.41,35.09,11.79,-17.39,-1,0.06,0.22,-1/11,hold,27.74-41.15,3.08,15.0,40.0,38.07,Buy,1.51 million,Industrials,Pollution & Treatment Controls,0.879,34.46,41.5,0.98,0.85,0.52
BALL,0.41,51.73,74.95,12.59,-3,0.08,0.1,-3/11,hold,43.51-70.97,-0.21,27.0,83.0,71.35,Buy time,2.72 million,Consumer Cyclical,Packaging & Containers,1.016,51.12,61.09,0.99,0.85,0.08
BMN,0.43,23.92,77.96,-14.86,0,1,1,0/11,,23.04-26.14,-4.5,9.0,0.1,0.1,- Buy time -,12.14 thousand,Financial Services,Asset Management,1,25.06,30.36,1.05,0.79,0.66
SKYT,0.43,7.63,190.35,-56.62,-1,0.18,7.51,-1/11,strongBuy,5.63-19.0,-7.21,60.0,15.0,13.8,Buy time,856.38 thousand,Technology,Semiconductors,3.407,8.41,9.66,1.1,0.79,0.48
REAL,0.43,6.24,129.92,-63.42,-1,0.01,0.43,-1/11,buy,2.241-11.375,1.12,45.0,15.0,11.82,Buy time,3.43 million,Consumer Cyclical,Luxury Goods,2.908,6.54,7.5,1.05,0.83,0.22
USNA,0.45,29.39,44.02,-6.71,-3,0.18,0.35,-3/11,hold,23.1-49.78,6.28,41.0,61.0,61.0,Buy time,259.85 thousand,Consumer Defensive,Packaged Foods,1.004,29.21,34.8,0.99,0.84,0.23
TPR,0.45,72.41,146.61,-19.69,-2,0.25,0.14,-2/11,buy,35.23-90.85,-1.51,20.0,110.0,96.92,Buy time,7.14 million,Consumer Cyclical,Luxury Goods,1.389,76.23,89.87,1.05,0.81,0.08
SKGR,0.46,11.2,-1.71,-14.84,-1,1,1,-1/9,,10.39-13.4,-4.37,16.0,0.1,0.1,Sell ALL,80.70 thousand,Financial Services,Shell Companies,1,11.72,20.44,1.05,0.55,2.5
AGM,0.47,178.62,95.83,-25.31,0,-0.21,-0.05,0/11,buy,159.64-217.6,-9.06,18.0,235.0,231.0,- +Buy time -,39.74 thousand,Financial Services,Credit Services,1.031,192.47,225.63,1.08,0.79,0.12
AIR,0.47,56.61,151.97,-37.5,1,0.09,0.1,1/11,buy,46.51-76.34,-21.5,26.0,85.0,82.6,Buy time,262.01 thousand,Industrials,Aerospace & Defense,1.325,62.84,73.59,1.11,0.77,0.21
ACV,0.48,20.45,79.0,-21.33,0,1,1,0/11,,17.0-23.39,1.87,13.0,0.1,0.1,Buy time,45.57 thousand,Financial Services,Asset Management,1,20.62,24.61,1.01,0.83,0.35
SBI,0.5,7.57,26.95,-4.66,0,1,1,0/11,,7.3-8.29,-1.28,9.0,0.1,0.1,Buy time,47.52 thousand,Financial Services,Asset Management,0.369,7.73,9.28,1.02,0.82,0.52
BL,0.53,46.85,75.34,-85.63,2,0.05,0.1,2/11,hold,40.824-66.25,-7.07,28.999999999999996,80.0,67.77,Buy time,1.11 million,Technology,Software - Application,0.973,50.7,60.79,1.08,0.77,0.8
MGRE,0.53,23.73,87.53,-9.85,0,1,1,0/11,,22.51-26.51,-3.38,10.0,0.1,0.1,Buy,29.86 thousand,N/A,N/A,1,24.35,28.98,1.03,0.82,0.31
ATER,0.54,1.99,140.79,2.68,-3,1.11,1.4,-3/11,buy,1.56-3.84,-35.54,48.0,8.0,8.0,Buy,4.73 million,Consumer Cyclical,Furnishings, Fixtures & Appliances,1.686,2.24,21.7,1.13,0.09,2.5
EWBC,0.55,89.21,4.94,-23.01,0,-0.01,-0.0,0/11,buy,68.27-113.95,-1.29,22.0,118.0,110.05,Buy,1.70 million,Financial Services,Banks - Regional,1.084,92.22,111.02,1.03,0.8,0.36
ALTI,0.55,3.31,51.17,-23.72,-3,-0.24,-13.54,-3/11,buy,2.33-5.45,10.57,39.0,9.0,9.0,== less Sell ALL==,124.02 thousand,Financial Services,Asset Management,0.772,3.34,3.96,1.01,0.84,0.07
ENFN,0.55,10.48,63.89,-22.84,0,-0.04,-0.64,0/9,hold,7.83-11.8,-5.82,11.0,11.25,11.25,Sell ALL,1.19 million,Technology,Software - Application,0.928,11.19,13.81,1.07,0.76,0.38
LOGC,0.56,7.09,159.97,-19.98,-1,-0.15,-5.83,-1/11,hold,4.92-9.34,-5.78,24.0,5.9,5.9,Buy time,309.88 thousand,Consumer Cyclical,Internet Retail,2.003,7.64,9.0,1.08,0.79,0.28
LLY,0.56,825.0,43.78,-10.89,-1,0.13,0.02,-1/11,buy,677.09-972.53,-1.46,15.0,1190.0,1085.91,Sell ALL,3.67 million,Healthcare,Drug Manufacturers - General,0.504,859.41,1032.66,1.04,0.8,0.16
GDEN,0.58,26.26,175.51,-53.76,0,0.05,0.46,0/11,buy,22.66-35.49,-6.39,26.0,40.0,38.0,Buy time,235.65 thousand,Consumer Cyclical,Resorts & Casinos,2.004,28.68,33.36,1.09,0.79,0.14
AIMD,0.58,0.54,150.08,-25.13,-2,1,1,-2/11,,0.4-1.46,6.91,63.0,0.1,0.1,Sell ALL,133.91 thousand,Healthcare,Medical Devices,1.846,0.57,0.69,1.06,0.78,0.9
GGG,0.58,83.57,87.41,-0.85,-2,-0.09,-0.12,-2/11,hold,72.06-92.86,0.4,10.0,100.0,94.02,- +Buy time -,1.02 million,Industrials,Specialty Industrial Machinery,0.912,83.4,99.15,1.0,0.84,0.16
BOF,0.58,2.06,71.52,-38.38,0,1,1,0/11,,0.609-4.11,7.77,50.0,0.1,0.1,- Buy time -,192.69 thousand,Consumer Defensive,Packaged Foods,1,2.2,2.64,1.07,0.78,0.67
TRMK,0.58,34.92,-5.34,-21.79,0,0.15,0.18,0/11,hold,27.42-40.73,1.4,14.000000000000002,45.25,43.35,- +Buy time -,378.16 thousand,Financial Services,Banks - Regional,0.66,35.31,42.94,1.01,0.81,0.2
GJS,0.58,22.3,85.49,-1.22,-3,1,1,-3/11,,22.02-23.32,-1.53,4.0,0.1,0.1,Sell,1.63 thousand,N/A,N/A,1,22.66,27.05,1.02,0.82,2.5
ACP,0.6,5.67,85.83,-8.44,0,1,1,0/11,,4.92-7.03,-2.47,19.0,0.1,0.1,- +Buy time -,789.31 thousand,Financial Services,Asset Management,0.82,5.78,6.9,1.02,0.82,0.22
SYBT,0.6,74.84,29.41,2.34,-2,0.22,0.22,-2/11,hold,44.36-79.79,7.07,6.0,81.0,79.9,Sell,112.34 thousand,Financial Services,Banks - Regional,0.784,71.9,86.34,0.96,0.87,0.15
WULF,0.6,3.3,238.89,-88.46,-1,-0.02,-0.55,-1/11,buy,1.91-9.3,-0.15,65.0,10.0,8.62,Buy time,45.77 million,Financial Services,Capital Markets,4.159,3.68,3.99,1.12,0.83,0.2
PLBC,0.61,43.25,33.93,-10.98,-1,0.11,0.1,-1/11,strongBuy,32.5-51.33,0.75,16.0,59.0,55.5,Buy,11.21 thousand,Financial Services,Banks - Regional,0.552,43.8,52.53,1.01,0.82,0.19
CUBB,0.62,19.62,72.75,1.61,-2,1,1,-2/11,,18.26-21.845,-0.94,10.0,0.1,0.1,- Buy time -,1.70 thousand,N/A,N/A,1,19.75,23.63,1.01,0.83,1.59
VNDA,0.64,4.54,32.49,-13.84,-1,0.03,0.27,-1/11,strongBuy,3.85-6.75,-8.81,33.0,20.0,16.33,Buy time,606.50 thousand,Healthcare,Biotechnology,0.722,4.74,5.59,1.04,0.81,0.1
MCHP,0.64,48.11,182.2,2.8,-2,-0.05,-0.23,-2/11,buy,34.13-100.57,-13.44,52.0,70.0,64.41,Buy time,13.18 million,Technology,Semiconductors,1.505,51.69,60.87,1.07,0.79,0.11
PHK,0.64,4.78,54.33,-1.43,0,1,1,0/11,,4.18-5.18,-1.12,8.0,0.1,0.1,Buy time,739.53 thousand,Financial Services,Asset Management,0.652,4.8,5.87,1.0,0.81,0.17
ADUS,0.65,104.78,49.79,-23.62,-2,0.04,0.03,-2/11,buy,88.96-136.72,12.92,23.0,160.0,147.85,Buy time,241.68 thousand,Healthcare,Medical Care Facilities,0.934,101.45,121.67,0.97,0.86,0.12
HYBX,0.65,29.91,82.15,-0.09,-3,1,1,-3/11,,28.67-30.88,-0.03,3.0,0.1,0.1,Buy,2.83 thousand,N/A,N/A,1,29.92,37.52,1.0,0.8,2.4
CRAI,0.66,166.91,97.41,-31.64,0,0.68,0.39,0/11,strongBuy,133.54-214.01,-7.3,22.0,247.0,241.25,- +Buy time -,44.69 thousand,Industrials,Consulting Services,0.953,180.79,214.22,1.08,0.78,0.24
NI,0.68,39.12,39.77,12.93,-2,0.03,0.22,-2/11,buy,27.6-41.45,0.31,6.0,48.15,45.19,- +Buy time -,5.75 million,Utilities,Utilities - Regulated Gas,0.48,39.48,46.92,1.01,0.83,0.16
ADEA,0.7,12.7,116.53,13.02,-2,-0.09,-0.22,-2/11,strongBuy,9.6801-17.46,-9.21,27.0,18.0,17.67,- +Buy time -,610.58 thousand,Technology,Software - Application,1.122,13.56,16.15,1.07,0.79,0.06
IGTA,0.7,11.48,5.92,-1.55,-2,1,1,-2/11,,9.73-12.49,0.0,8.0,0.1,0.1,Sell,1.09 thousand,Financial Services,Shell Companies,0.071,11.5,18.92,1.0,0.61,2.5
HGER,0.7,23.37,78.77,0.45,-1,1,1,-1/11,,21.26-24.38,-1.2,4.0,0.1,0.1,Sell,219.63 thousand,N/A,N/A,1,23.61,28.69,1.01,0.81,0.79
PLXS,0.72,128.0,30.86,-22.27,0,0.26,0.16,0/11,hold,100.96-172.89,0.58,26.0,170.0,165.25,Buy,203.66 thousand,Technology,Electronic Components,0.828,130.46,154.33,1.02,0.83,-0.0
GIL,0.72,47.54,39.73,-11.64,-1,0.04,0.06,-1/11,strongBuy,32.32-55.39,1.57,14.000000000000002,65.0,60.96,- +Buy time -,704.78 thousand,Consumer Cyclical,Apparel Manufacturing,1.193,47.76,57.24,1.0,0.83,0.16
CYCN,0.72,3.16,71.25,-66.11,0,2.8,0.4,0/11,,1.27-9.47,19.62,67.0,0.1,0.1,Buy time,67.47 thousand,Healthcare,Biotechnology,1.958,3.11,4.18,0.98,0.76,0.91
DXCM,0.73,81.12,96.05,-6.76,-3,-0.06,-0.12,-3/11,buy,57.52-132.26,9.54,39.0,115.0,106.38,Buy time,4.66 million,Healthcare,Medical Devices,1,77.46,91.33,0.95,0.89,0.24
FLUT,0.74,248.55,108.24,-16.6,-2,1.31,1.45,-2/11,buy,174.03-299.73,2.77,17.0,367.0,338.29,Buy time,2.21 million,Consumer Cyclical,Gambling,1.335,250.52,296.54,1.01,0.84,0.28
SKE,0.75,11.37,65.03,29.99,-2,1,1,-2/11,,4.1-12.755,2.46,11.0,0.1,0.1,== less Sell ALL==,382.59 thousand,Basic Materials,Other Industrial Metals & Mining,2.034,10.76,12.88,0.95,0.88,0.16
NSC,0.75,224.91,91.37,-27.97,0,0.11,0.04,0/11,hold,201.63-277.6,-4.34,19.0,290.0,273.94,- +Buy time -,1.25 million,Industrials,Railroads,1.301,237.1,281.73,1.05,0.8,0.12
COP,0.77,91.03,83.42,-14.07,0,0.29,0.16,0/11,buy,79.88-125.22,-11.32,27.0,140.0,128.73,- +Buy time -,9.40 million,Energy,Oil & Gas E&P,0.841,97.42,117.24,1.07,0.78,0.06
DAO,0.77,9.05,4.73,65.18,-5,0.42,1.33,-5/11,buy,2.86-11.82,6.26,23.0,14.619469,12.86,Buy,163.94 thousand,Consumer Defensive,Education & Training Services,0.318,8.72,10.19,0.96,0.89,-0.03
JPC,0.77,7.8,63.31,-0.15,0,1,1,0/11,,6.79-8.24,-1.3,5.0,0.1,0.1,- +Buy time -,1.06 million,Financial Services,Asset Management,0.767,7.79,9.43,1.0,0.83,0.16
JOE,0.77,43.85,103.39,-16.15,1,0.03,-0.2,1/11,,40.19-64.69,-6.88,32.0,0.1,0.1,- +Buy time -,278.59 thousand,Real Estate,Real Estate - Diversified,1.283,46.19,55.12,1.05,0.8,0.11
ASTI,0.77,1.72,232.02,-49.58,0,1,1,0/11,,1.17-34.0,-8.43,95.0,0.1,0.1,Buy time,34.09 thousand,Technology,Solar,2.759,1.83,2.15,1.06,0.8,1.15
NXST,0.78,147.33,92.8,0.05,0,-3.37,-0.49,0/11,buy,141.66-191.86,-21.68,23.0,225.0,211.5,Sell ALL,593.16 thousand,Communication Services,Broadcasting,1.077,165.49,196.12,1.12,0.75,0.37
AG,0.78,5.84,61.1,32.82,-1,-0.04,-5.5,-1/11,hold,4.43-8.09,-24.25,28.000000000000004,11.0,9.75,Sell ALL,22.47 million,Basic Materials,Silver,1.332,6.28,7.47,1.08,0.78,0.05
KRC,0.79,32.65,57.63,-27.45,0,0.3,0.98,0/11,hold,27.07-43.78,-4.25,25.0,59.0,49.17,- +Buy time -,1.63 million,Real Estate,REIT - Office,1.064,33.87,39.92,1.04,0.82,0.0
WINN,0.8,25.99,60.39,-18.76,0,1,1,0/11,,20.815-28.71,3.39,9.0,0.1,0.1,Buy time,213.26 thousand,N/A,N/A,1,25.87,31.38,1.0,0.83,0.61
CNQ,0.8,28.89,108.1,-5.28,-1,0.04,0.05,-1/11,hold,24.65-39.2,-6.35,26.0,34.10606,33.73,== less Sell ALL==,9.83 million,Energy,Oil & Gas E&P,1.545,29.75,35.32,1.03,0.82,0.15
GHY,0.8,12.65,94.88,-4.93,0,1,1,0/11,,11.31-13.66,-2.19,7.000000000000001,0.1,0.1,Buy time,222.71 thousand,Financial Services,Asset Management,1,12.9,15.36,1.02,0.82,0.13
RUSHB,0.81,58.15,53.84,10.84,-1,1,1,-1/11,,37.85-61.55,3.45,6.0,0.1,0.1,Sell ALL,30.57 thousand,Consumer Cyclical,Auto & Truck Dealerships,0.963,57.14,69.08,0.98,0.84,0.23
PHT,0.81,7.56,88.02,-5.3,0,1,1,0/11,,6.62-8.04,-0.43,6.0,0.1,0.1,Buy,101.89 thousand,Financial Services,Asset Management,1,7.66,9.17,1.01,0.82,0.06
STXG,0.81,41.47,63.04,-16.6,0,1,1,0/11,,34.32-45.38,1.7,9.0,0.1,0.1,Buy time,23.03 thousand,N/A,N/A,1,41.5,49.28,1.0,0.84,0.67
ALCO,0.82,28.94,74.66,-9.21,-1,0.7,0.75,-1/11,strongBuy,24.14-34.08,-1.21,15.0,35.0,35.0,Sell ALL,62.72 thousand,Consumer Defensive,Farm Products,0.856,29.7,35.83,1.03,0.81,0.19
TSBK,0.83,31.25,4.0,7.73,0,0.02,0.09,0/11,,24.26-33.98,2.05,8.0,0.1,0.1,Buy time,11.13 thousand,Financial Services,Banks - Regional,0.443,30.67,36.91,0.98,0.85,0.22
LOW,0.84,227.04,49.8,-27.57,0,0.17,0.08,0/11,buy,206.39-287.01,1.2,21.0,305.0,290.62,Buy time,2.77 million,Consumer Cyclical,Home Improvement Retail,1.06,234.32,277.88,1.03,0.82,0.07
BRW,0.84,7.57,55.81,2.19,0,1,1,0/11,,6.86-8.04,-0.43,6.0,0.1,0.1,Buy time,184.80 thousand,Financial Services,Asset Management,0.472,7.61,9.28,1.01,0.82,0.12
AVK,0.85,11.28,116.62,-14.03,0,1,1,0/11,,9.75-12.97,-1.21,13.0,0.1,0.1,- +Buy time -,168.51 thousand,Financial Services,Asset Management,1.293,11.44,13.66,1.01,0.83,0.25
STC,0.85,66.65,88.48,1.41,-1,0.06,-0.11,-1/11,buy,58.61-78.44,-5.6,15.0,82.0,80.25,Sell,170.34 thousand,Financial Services,Insurance - Property & Casualty,1.07,69.15,83.08,1.04,0.8,0.0
GLW,0.86,45.67,66.29,-34.88,1,0.04,0.08,1/11,buy,32.92-55.33,-6.76,17.0,60.0,56.0,Buy time,6.85 million,Technology,Electronic Components,1.021,47.88,55.69,1.05,0.82,0.17
AEFC,0.87,20.12,72.31,-2.55,-2,1,1,-2/11,,19.48-22.9,-0.05,12.0,0.1,0.1,- Buy time -,63.60 thousand,N/A,N/A,1,20.42,27.4,1.01,0.73,1.95
MTEX,0.87,10.45,90.97,-13.33,-3,1,1,-3/11,,6.75-16.49,6.12,37.0,0.1,0.1,Buy time,2.23 thousand,Consumer Defensive,Food Distribution,0.97,10.29,12.35,0.98,0.85,2.5
